CONCESSIONARIA,SUBGRUPO,MODALIDADE,CLASSE,SUBCLASSE,POSTO,UNIDADE,Total TUSD,Total TE
CEB,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,144.91,543.08
CEB,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,25.69,0.0
CEB,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,144.91,335.75
CEB,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,10.97,0.0
CEB,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,3.07,0.0
CEB,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,654.67,0.0
CEB,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,10.97,0.0
CEB,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,30.28,0.0
CEB,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,769.31,543.08
CEB,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,10.97,0.0
CEB,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,144.91,335.75
CEB,AS,Azul,Não se aplica,Não se aplica,Ponta,MWh,60.11,0.0
CEB,AS,Azul,Não se aplica,Não se aplica,Ponta,kW,49.39,0.0
CEB,AS,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,60.11,0.0
CEB,AS,Azul,Não se aplica,Não se aplica,Fora ponta,kW,12.45,0.0
CEB,AS,Azul,Não se aplica,Não se aplica,Ponta,MWh,193.12,543.08
CEB,AS,Azul,Não se aplica,Não se aplica,Ponta,kW,49.39,0.0
CEB,AS,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,193.12,335.75
CEB,AS,Azul,Não se aplica,Não se aplica,Fora ponta,kW,12.45,0.0
CEB,AS,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,193.12,353.03
CEB,AS,Convencional,Não se aplica,Não se aplica,Não se aplica,kW,48.01,0.0
CEB,AS,Verde,Não se aplica,Não se aplica,Ponta,MWh,1260.53,0.0
CEB,AS,Verde,Não se aplica,Não se aplica,Não se aplica,kW,12.45,0.0
CEB,AS,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,60.11,0.0
CEB,AS,Verde,Não se aplica,Não se aplica,Ponta,MWh,1393.54,543.08
CEB,AS,Verde,Não se aplica,Não se aplica,Não se aplica,kW,12.45,0.0
CEB,AS,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,193.12,335.75
CEB,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,1.63,0.0
CEB,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,5.95,0.0
CEB,B1,Branca,Residencial,Residencial,Ponta,MWh,608.57,543.08
CEB,B1,Branca,Residencial,Residencial,Intermediário,MWh,441.55,335.75
CEB,B1,Branca,Residencial,Residencial,Fora ponta,MWh,274.54,335.75
CEB,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,212.66,353.03
CEB,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,345.68,353.03
CEB,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,212.66,353.03
CEB,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,345.68,353.03
CEB,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,615.67,510.5
CEB,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,441.23,315.61
CEB,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,266.79,315.61
CEB,B2,Branca,Rural,Não se aplica,Ponta,MWh,615.67,510.5
CEB,B2,Branca,Rural,Não se aplica,Intermediário,MWh,441.23,315.61
CEB,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,266.79,315.61
CEB,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,602.57,499.64
CEB,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,431.84,308.89
CEB,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,261.11,308.89
CEB,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,324.93,331.85
